人物,出现次数
诸葛亮,1068
刘备,1025
曹操,953
关羽,638
张飞,365
赵云,333
吕布,302
孙权,273
周瑜,265
司马懿,241
魏延,212
袁绍,199
马超,194
姜维,179
黄忠,168
马岱,127
庞德,122
刘表,119
张辽,119
董卓,114
徐晃,113
孙策,108
鲁肃,107
邓艾,106
许褚,92
司马昭,89
夏侯渊,88
王平,88
曹仁,86
刘璋,83
吕蒙,83
张苞,81
袁术,78
孟获,78
曹洪,77
陆逊,74
孟达,73
曹真,71
张翼,70
曹丕,67
李典,65
蔡瑁,63
廖化,62
太史慈,61
郭淮,61
吴侯,60
孙乾,59
庞统,54
徐盛,53
黄盖,52
张嶷,52
韩遂,51
司马师,51
孙坚,49
张昭,49
张鲁,49
刘封,49
糜竺,48
杨仪,48
夏侯霸,48
张任,46
公孙瓒,45
贾诩,45
刘禅,45
周泰,44
丁奉,44
邓芝,44
陈宫,43
黄祖,43
程普,42
郭汜,41
程昱,40
严颜,40
马谡,40
马忠,40
曹休,39
献帝,38
马腾,37
杨奉,37
袁尚,37
颜良,35
刘皇叔,35
曹爽,35
董承,33
糜芳,32
诸葛瑾,32
潘璋,31
凌统,30
李儒,29
陶谦,29
简雍,29
袁谭,29
周郎,29
贾充,29
黄皓,29
