人物,出现次数
诸葛亮,988
曹操,934
刘备,907
关羽,779
丞相,488
孔明曰,385
玄德曰,383
张飞,348
吕布,300
孙权,264
赵云,255
司马懿,221
周瑜,217
刘禅,216
袁绍,190
夏侯,185
马超,185
大叫,180
上马,179
魏延,177
此人,174
先主,173
太守,172
天子,169
后人,169
背后,168
城中,168
黄忠,168
一面,167
何不,167
忽报,165
大军,164
先生,164
何故,162
然后,162
先锋,161
夫人,161
不如,154
姜维,151
赶来,148
原来,146
令人,145
江东,143
徐州,141
正是,140
忽然,138
下马,138
喊声,137
成都,136
因此,135
百姓,133
未知,133
大败,132
一军,130
大事,130
之后,128
不见,127
起兵,127
马岱,127
接应,126
军中,123
进兵,123
引军,122
大惊,122
可以,122
庞德,122
孟获,122
心中,121
------------,120
以为,120
不得,119
刘表,119
大怒,118
下文,117
追赶,116
粮草,116
一声,116
分解,115
分付,115
董卓,114
曹兵,114
出马,113
回报,113
只得,113
三千,113
一齐,112
许都,112
报知,111
大将,111
随后,110
之兵,110
且说,109
众官,108
孙策,108
洛阳,107
鲁肃,107
领兵,106
星夜,104
何人,104
精兵,103
