POD[33]-EDGE[17], POD[33]-AGGREGATION[7], 0.008807
POD[20]-EDGE[0], POD[20]-AGGREGATION[1], 0.006627
POD[21]-EDGE[16], POD[21]-AGGREGATION[13], 0.005737
POD[7]-EDGE[1], POD[7]-AGGREGATION[8], 0.004894
POD[15]-EDGE[10], POD[15]-AGGREGATION[5], 0.030112
POD[5]-EDGE[11], POD[5]-AGGREGATION[17], 0.025458
POD[15]-EDGE[3], POD[15]-AGGREGATION[3], 0.049463
POD[29]-EDGE[13], POD[29]-AGGREGATION[5], 0.020891
POD[15]-EDGE[5], POD[15]-AGGREGATION[17], 0.620637
POD[25]-EDGE[10], POD[25]-AGGREGATION[15], 0.678880
POD[6]-EDGE[12], POD[6]-AGGREGATION[16], 0.589127
POD[0]-EDGE[0], POD[0]-AGGREGATION[0], 0.000044
POD[0]-EDGE[0], POD[0]-AGGREGATION[1], 0.000077
POD[0]-EDGE[0], POD[0]-AGGREGATION[2], 0.000076
POD[0]-EDGE[0], POD[0]-AGGREGATION[3], 0.000091
POD[0]-EDGE[0], POD[0]-AGGREGATION[4], 0.000046
POD[0]-EDGE[0], POD[0]-AGGREGATION[5], 0.000071
POD[0]-EDGE[0], POD[0]-AGGREGATION[6], 0.000096
POD[0]-EDGE[0], POD[0]-AGGREGATION[7], 0.000057
POD[0]-EDGE[0], POD[0]-AGGREGATION[8], 0.000078
POD[0]-EDGE[0], POD[0]-AGGREGATION[9], 0.000012
POD[0]-EDGE[0], POD[0]-AGGREGATION[10], 0.000010
POD[0]-EDGE[0], POD[0]-AGGREGATION[11], 0.000020
POD[0]-EDGE[0], POD[0]-AGGREGATION[12], 0.000093
POD[0]-EDGE[0], POD[0]-AGGREGATION[13], 0.000065
POD[0]-EDGE[0], POD[0]-AGGREGATION[14], 0.000026
POD[0]-EDGE[0], POD[0]-AGGREGATION[15], 0.000027
POD[0]-EDGE[0], POD[0]-AGGREGATION[16], 0.000039
POD[0]-EDGE[0], POD[0]-AGGREGATION[17], 0.000053
POD[0]-EDGE[1], POD[0]-AGGREGATION[0], 0.000096
POD[0]-EDGE[1], POD[0]-AGGREGATION[1], 0.000033
POD[0]-EDGE[1], POD[0]-AGGREGATION[2], 0.000042
POD[0]-EDGE[1], POD[0]-AGGREGATION[3], 0.000019
POD[0]-EDGE[1], POD[0]-AGGREGATION[4], 0.000080
POD[0]-EDGE[1], POD[0]-AGGREGATION[5], 0.000046
POD[0]-EDGE[1], POD[0]-AGGREGATION[6], 0.000002
POD[0]-EDGE[1], POD[0]-AGGREGATION[7], 0.000022
POD[0]-EDGE[1], POD[0]-AGGREGATION[8], 0.000017
POD[0]-EDGE[1], POD[0]-AGGREGATION[9], 0.000081
POD[0]-EDGE[1], POD[0]-AGGREGATION[10], 0.000080
POD[0]-EDGE[1], POD[0]-AGGREGATION[11], 0.000085
POD[0]-EDGE[1], POD[0]-AGGREGATION[12], 0.000032
POD[0]-EDGE[1], POD[0]-AGGREGATION[13], 0.000011
POD[0]-EDGE[1], POD[0]-AGGREGATION[14], 0.000056
POD[0]-EDGE[1], POD[0]-AGGREGATION[15], 0.000046
POD[0]-EDGE[1], POD[0]-AGGREGATION[16], 0.000005
POD[0]-EDGE[1], POD[0]-AGGREGATION[17], 0.000089
POD[0]-EDGE[2], POD[0]-AGGREGATION[0], 0.000083
POD[0]-EDGE[2], POD[0]-AGGREGATION[1], 0.000022
POD[0]-EDGE[2], POD[0]-AGGREGATION[2], 0.000096
POD[0]-EDGE[2], POD[0]-AGGREGATION[3], 0.000098
POD[0]-EDGE[2], POD[0]-AGGREGATION[4], 0.000084
POD[0]-EDGE[2], POD[0]-AGGREGATION[5], 0.000036
POD[0]-EDGE[2], POD[0]-AGGREGATION[6], 0.000066
POD[0]-EDGE[2], POD[0]-AGGREGATION[7], 0.000097
POD[0]-EDGE[2], POD[0]-AGGREGATION[8], 0.000024
POD[0]-EDGE[2], POD[0]-AGGREGATION[9], 0.000025
POD[0]-EDGE[2], POD[0]-AGGREGATION[10], 0.000004
POD[0]-EDGE[2], POD[0]-AGGREGATION[11], 0.000074
POD[0]-EDGE[2], POD[0]-AGGREGATION[12], 0.000032
POD[0]-EDGE[2], POD[0]-AGGREGATION[13], 0.000051
POD[0]-EDGE[2], POD[0]-AGGREGATION[14], 0.000000
POD[0]-EDGE[2], POD[0]-AGGREGATION[15], 0.000022
POD[0]-EDGE[2], POD[0]-AGGREGATION[16], 0.000018
POD[0]-EDGE[2], POD[0]-AGGREGATION[17], 0.000087
POD[0]-EDGE[3], POD[0]-AGGREGATION[0], 0.000068
POD[0]-EDGE[3], POD[0]-AGGREGATION[1], 0.000011
POD[0]-EDGE[3], POD[0]-AGGREGATION[2], 0.000081
POD[0]-EDGE[3], POD[0]-AGGREGATION[3], 0.000040
POD[0]-EDGE[3], POD[0]-AGGREGATION[4], 0.000062
POD[0]-EDGE[3], POD[0]-AGGREGATION[5], 0.000007
POD[0]-EDGE[3], POD[0]-AGGREGATION[6], 0.000070
POD[0]-EDGE[3], POD[0]-AGGREGATION[7], 0.000072
POD[0]-EDGE[3], POD[0]-AGGREGATION[8], 0.000041
POD[0]-EDGE[3], POD[0]-AGGREGATION[9], 0.000004
POD[0]-EDGE[3], POD[0]-AGGREGATION[10], 0.000003
POD[0]-EDGE[3], POD[0]-AGGREGATION[11], 0.000023
POD[0]-EDGE[3], POD[0]-AGGREGATION[12], 0.000080
POD[0]-EDGE[3], POD[0]-AGGREGATION[13], 0.000015
POD[0]-EDGE[3], POD[0]-AGGREGATION[14], 0.000059
POD[0]-EDGE[3], POD[0]-AGGREGATION[15], 0.000035
POD[0]-EDGE[3], POD[0]-AGGREGATION[16], 0.000024
POD[0]-EDGE[3], POD[0]-AGGREGATION[17], 0.000091
POD[0]-EDGE[4], POD[0]-AGGREGATION[0], 0.000069
POD[0]-EDGE[4], POD[0]-AGGREGATION[1], 0.000036
POD[0]-EDGE[4], POD[0]-AGGREGATION[2], 0.000050
POD[0]-EDGE[4], POD[0]-AGGREGATION[3], 0.000057
POD[0]-EDGE[4], POD[0]-AGGREGATION[4], 0.000048
POD[0]-EDGE[4], POD[0]-AGGREGATION[5], 0.000081
POD[0]-EDGE[4], POD[0]-AGGREGATION[6], 0.000093
POD[0]-EDGE[4], POD[0]-AGGREGATION[7], 0.000048
POD[0]-EDGE[4], POD[0]-AGGREGATION[8], 0.000029
POD[0]-EDGE[4], POD[0]-AGGREGATION[9], 0.000099
POD[0]-EDGE[4], POD[0]-AGGREGATION[10], 0.000043
POD[0]-EDGE[4], POD[0]-AGGREGATION[11], 0.000087
POD[0]-EDGE[4], POD[0]-AGGREGATION[12], 0.000062
POD[0]-EDGE[4], POD[0]-AGGREGATION[13], 0.000019
POD[0]-EDGE[4], POD[0]-AGGREGATION[14], 0.000014
POD[0]-EDGE[4], POD[0]-AGGREGATION[15], 0.000094
